id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-2222,2020-01-27,000002,Vente,18000,,,LE VILLAGE,B060,01430,01282,Outriaz,01,,,012820000A1922,,,,,,,,,,,,,0,,,,,S,sols,,,26,5.547718,46.066399
2020-2222,2020-01-27,000002,Vente,18000,3,B,IMP DU GARDE,0035,01430,01282,Outriaz,01,,,012820000A1924,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,148,5.547728,46.066325
2020-2223,2020-01-27,000002,Vente,14581.4,,,SOLOMIAT,B175,01450,01214,Leyssard,01,,,01214000ZA0115,,,,,,,,,,,,,0,,,,,S,sols,,,67,5.478332,46.177474
2020-2223,2020-01-27,000002,Vente,14581.4,,,SOLOMIAT,B175,01450,01214,Leyssard,01,,,01214000ZA0116,,,,,,,,,,,,,0,,,,,S,sols,,,153,5.478358,46.177549
2020-2223,2020-01-27,000002,Vente,14581.4,,,SOLOMIAT,B175,01450,01214,Leyssard,01,,,01214000ZA0117,,,,,,,,,,,,,0,,,,,S,sols,,,81,5.478393,46.177629
2020-2223,2020-01-27,000002,Vente,14581.4,,,SOLOMIAT,B175,01450,01214,Leyssard,01,,,01214000ZA0118,,,,,,,,,,,,,0,,,,,S,sols,,,84,5.478412,46.177708
2020-2223,2020-01-27,000002,Vente,14581.4,,,CHAMP DU CARE,B023,01450,01214,Leyssard,01,,,01214000ZB0072,,,,,,,,,,,,,0,,,,,P,prés,,,705,5.478735,46.177516
2020-2224,2020-01-21,000001,Vente,1300000,,,DOM DE RIONDEL,A013,01210,01281,Ornex,01,,,01281000AP0145,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,823,6.101692,46.267874
2020-2224,2020-01-21,000001,Vente,1300000,171,,RUE DES EYCHEROLLES,0080,01210,01281,Ornex,01,,,01281000AP0146,,,,,,,,,,,,,0,1,Maison,232,8,S,sols,,,945,6.101482,46.268059
2020-2225,2020-01-20,000002,Vente,1,,,AUX PUGINS,B035,01280,01313,Prévessin-Moëns,01,,,01313000AP0109,,,,,,,,,,,,,0,,,,,T,terres,,,64,6.075386,46.250431
